date,time,season,comp,round,home_team,away_team,gf_home,ga_home,xg_home,gf_away,ga_away,xg_away,result_home,xg_home_roll5,xg_away_roll5,xg_home_roll10,xg_away_roll10,gf_home_roll5,gf_away_roll5,gf_home_roll10,gf_away_roll10,ga_home_roll5,ga_away_roll5,ga_home_roll10,ga_away_roll10,xg_conceded_home_roll5,xg_conceded_away_roll5,xg_conceded_home_roll10,xg_conceded_away_roll10,avg_goals_for_prev_home,avg_goals_against_prev_home,avg_goals_for_prev_away,avg_goals_against_prev_away,avg_goals_for_curr_home,avg_goals_against_curr_home,avg_goals_for_curr_away,avg_goals_against_curr_away,matches_played_home,matches_played_away,avg_goals_for_home,avg_goals_against_home,avg_goals_for_away,avg_goals_against_away,home_advantage
2023-08-18,20:30,2023-2024,Bundesliga,1,Werder Bremen,Bayern Munich,0.0,4.0,0.6,4.0,0.0,2.8,-1,,,,,,,,,,,,,,,,,,,,,1.41,1.59,2.76,1.32,0,0,1.41,1.59,2.76,1.32,-1.35
2023-08-19,15:30,2023-2024,Bundesliga,1,Augsburg,Monchengladbach,4.0,4.0,2.3,4.0,4.0,1.7,0,,,,,,,,,,,,,,,,,,,,,1.47,1.76,1.65,1.97,0,0,1.47,1.76,1.65,1.97,-0.18
2023-08-19,15:30,2023-2024,Bundesliga,1,Hoffenheim,Freiburg,1.0,2.0,1.4,2.0,1.0,2.6,-1,,,,,,,,,,,,,,,,,,,,,1.94,1.94,1.32,1.71,0,0,1.94,1.94,1.32,1.71,0.62
2023-08-19,15:30,2023-2024,Bundesliga,1,Wolfsburg,Heidenheim,2.0,0.0,2.2,0.0,2.0,1.2,1,,,,,,,,,,,,,,,,,,,,,1.21,1.65,1.47,1.62,0,0,1.21,1.65,1.47,1.62,-0.26
2023-08-19,18:30,2023-2024,Bundesliga,1,Dortmund,Köln,1.0,0.0,1.8,0.0,1.0,1.2,1,,,,,,,,,,,,,,,,,,,,,2.0,1.26,0.82,1.76,0,0,2.0,1.26,0.82,1.76,1.18
2023-08-19,15:30,2023-2024,Bundesliga,1,Stuttgart,Bochum,5.0,0.0,3.0,0.0,5.0,0.8,1,,,,,,,,,,,,,,,,,,,,,2.29,1.15,1.24,2.18,0,0,2.29,1.15,1.24,2.18,1.05
2023-08-19,15:30,2023-2024,Bundesliga,1,Bayer Leverkusen,RB Leipzig,3.0,2.0,1.4,2.0,3.0,1.6,1,,,,,,,,,,,,,,,,,,,,,2.62,0.71,2.26,1.15,0,0,2.62,0.71,2.26,1.15,0.36
2023-08-20,15:30,2023-2024,Bundesliga,1,Union Berlin,Mainz 05,4.0,1.0,1.9,1.0,4.0,2.3,1,,,,,,,,,,,,,,,,,,,,,0.97,1.71,1.15,1.5,0,0,0.97,1.71,1.15,1.5,-0.18
2023-08-20,17:30,2023-2024,Bundesliga,1,Eintracht Frankfurt,Darmstadt 98,1.0,0.0,1.5,0.0,1.0,0.5,1,,,,,,,,,,,,,,,,,,,,,1.5,1.47,0.88,2.53,0,0,1.5,1.47,0.88,2.53,0.62
2023-08-25,20:30,2023-2024,Bundesliga,2,RB Leipzig,Stuttgart,5.0,1.0,1.8,1.0,5.0,1.1,1,1.6,3.0,1.6,3.0,2.0,5.0,2.0,5.0,3.0,0.0,3.0,0.0,1.4,0.8,1.4,0.8,,,,,2.26,1.15,2.29,1.15,1,1,2.26,1.15,2.29,1.15,-0.03
