date,time,season,comp,round,home_team,away_team,gf_home,ga_home,xg_home,gf_away,ga_away,xg_away,result_home,xg_home_roll5,xg_away_roll5,xg_home_roll10,xg_away_roll10,gf_home_roll5,gf_away_roll5,gf_home_roll10,gf_away_roll10,ga_home_roll5,ga_away_roll5,ga_home_roll10,ga_away_roll10,xg_conceded_home_roll5,xg_conceded_away_roll5,xg_conceded_home_roll10,xg_conceded_away_roll10,avg_goals_for_prev_home,avg_goals_against_prev_home,avg_goals_for_prev_away,avg_goals_against_prev_away,avg_goals_for_curr_home,avg_goals_against_curr_home,avg_goals_for_curr_away,avg_goals_against_curr_away,matches_played_home,matches_played_away,avg_goals_for_home,avg_goals_against_home,avg_goals_for_away,avg_goals_against_away,home_advantage
2023-08-11,21:00,2023-2024,Ligue 1,1,Nice,Lille,1.0,1.0,1.2,1.0,1.0,1.3,0,,,,,,,,,,,,,,,,,,,,,1.18,0.85,1.53,1.0,0,0,1.18,0.85,1.53,1.0,-0.35
2023-08-12,17:00,2023-2024,Ligue 1,1,Marseille,Reims,2.0,1.0,1.0,1.0,2.0,0.8,1,,,,,,,,,,,,,,,,,,,,,1.53,1.21,1.24,1.38,0,0,1.53,1.21,1.24,1.38,0.29
2023-08-12,21:00,2023-2024,Ligue 1,1,Paris Saint Germain,Lorient,0.0,0.0,1.2,0.0,0.0,0.1,-1,,,,,,,,,,,,,,,,,,,,,2.38,0.97,1.26,1.94,0,0,2.38,0.97,1.26,1.94,1.12
2023-08-13,15:00,2023-2024,Ligue 1,1,Clermont Foot,Monaco,2.0,4.0,1.8,4.0,2.0,2.5,-1,,,,,,,,,,,,,,,,,,,,,0.76,1.76,2.0,1.24,0,0,0.76,1.76,2.0,1.24,-1.24
2023-08-13,13:00,2023-2024,Ligue 1,1,Brest,Lens,3.0,2.0,2.5,2.0,3.0,0.7,1,,,,,,,,,,,,,,,,,,,,,1.56,1.0,1.32,1.09,0,0,1.56,1.0,1.32,1.09,0.24
2023-08-13,15:00,2023-2024,Ligue 1,1,Montpellier,Le Havre,2.0,2.0,1.6,2.0,2.0,1.0,0,,,,,,,,,,,,,,,,,,,,,1.26,1.41,1.0,1.32,0,0,1.26,1.41,1.0,1.32,0.26
2023-08-13,15:00,2023-2024,Ligue 1,1,Nantes,Toulouse,1.0,2.0,1.1,2.0,1.0,1.1,-1,,,,,,,,,,,,,,,,,,,,,0.88,1.62,1.24,1.35,0,0,0.88,1.62,1.24,1.35,-0.36
2023-08-13,17:05,2023-2024,Ligue 1,1,Rennes,Metz,5.0,1.0,4.0,1.0,5.0,0.4,1,,,,,,,,,,,,,,,,,,,,,1.56,1.35,1.03,1.71,0,0,1.56,1.35,1.03,1.71,0.53
2023-08-13,20:45,2023-2024,Ligue 1,1,Strasbourg,Lyon,2.0,1.0,1.3,1.0,2.0,1.7,1,,,,,,,,,,,,,,,,,,,,,1.12,1.47,1.44,1.62,0,0,1.12,1.47,1.44,1.62,-0.32
2023-08-18,21:00,2023-2024,Ligue 1,2,Metz,Marseille,2.0,2.0,0.5,2.0,2.0,1.9,0,0.4,1.0,0.4,1.0,1.0,2.0,1.0,2.0,5.0,1.0,5.0,1.0,4.0,0.8,4.0,0.8,,,,,1.03,1.71,1.53,1.21,1,1,1.03,1.71,1.53,1.21,-0.5
2023-08-19,21:00,2023-2024,Ligue 1,2,Toulouse,Paris Saint Germain,1.0,1.0,1.2,1.0,1.0,2.1,0,1.1,1.2,1.1,1.2,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.1,0.1,1.1,0.1,,,,,1.24,1.35,2.38,0.97,1,1,1.24,1.35,2.38,0.97,-1.14
2023-08-19,19:00,2023-2024,Ligue 1,2,Lyon,Montpellier,1.0,4.0,0.4,4.0,1.0,2.9,-1,1.7,1.6,1.7,1.6,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.3,1.0,1.3,1.0,,,,,1.44,1.62,1.26,1.41,1,1,1.44,1.62,1.26,1.41,0.18
2023-08-20,20:45,2023-2024,Ligue 1,2,Lens,Rennes,1.0,1.0,1.0,1.0,1.0,1.4,0,0.7,4.0,0.7,4.0,2.0,5.0,2.0,5.0,3.0,1.0,3.0,1.0,2.5,0.4,2.5,0.4,,,,,1.32,1.09,1.56,1.35,1,1,1.32,1.09,1.56,1.35,-0.24
2023-08-20,15:00,2023-2024,Ligue 1,2,Lorient,Nice,1.0,1.0,0.8,1.0,1.0,1.7,0,0.1,1.2,0.1,1.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.2,1.3,1.2,1.3,,,,,1.26,1.94,1.18,0.85,1,1,1.26,1.94,1.18,0.85,0.08
2023-08-20,13:00,2023-2024,Ligue 1,2,Lille,Nantes,2.0,0.0,2.2,0.0,2.0,1.1,1,1.3,1.1,1.3,1.1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.2,1.1,1.2,1.1,,,,,1.53,1.0,0.88,1.62,1,1,1.53,1.0,0.88,1.62,0.65
2023-08-20,15:00,2023-2024,Ligue 1,2,Le Havre,Brest,1.0,2.0,1.2,2.0,1.0,1.1,-1,1.0,2.5,1.0,2.5,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.6,0.7,1.6,0.7,,,,,1.0,1.32,1.56,1.0,1,1,1.0,1.32,1.56,1.0,-0.56
2023-08-20,15:00,2023-2024,Ligue 1,2,Reims,Clermont Foot,2.0,0.0,2.4,0.0,2.0,0.4,1,0.8,1.8,0.8,1.8,1.0,2.0,1.0,2.0,2.0,4.0,2.0,4.0,1.0,2.5,1.0,2.5,,,,,1.24,1.38,0.76,1.76,1,1,1.24,1.38,0.76,1.76,0.48
