date,time,season,comp,round,home_team,away_team,gf_home,ga_home,xg_home,gf_away,ga_away,xg_away,result_home,xg_home_roll5,xg_away_roll5,xg_home_roll10,xg_away_roll10,gf_home_roll5,gf_away_roll5,gf_home_roll10,gf_away_roll10,ga_home_roll5,ga_away_roll5,ga_home_roll10,ga_away_roll10,xg_conceded_home_roll5,xg_conceded_away_roll5,xg_conceded_home_roll10,xg_conceded_away_roll10,avg_goals_for_prev_home,avg_goals_against_prev_home,avg_goals_for_prev_away,avg_goals_against_prev_away,avg_goals_for_curr_home,avg_goals_against_curr_home,avg_goals_for_curr_away,avg_goals_against_curr_away,matches_played_home,matches_played_away,avg_goals_for_home,avg_goals_against_home,avg_goals_for_away,avg_goals_against_away,home_advantage
2024-08-17,18:30 (16:30),2024-2025,Serie A,1,Parma,Fiorentina,1.0,1.0,1.7,1.0,1.0,0.7,0.0,,,,,,,,,,,,,,,,,,,,,1.16,1.53,1.58,1.08,0,0,1.16,1.53,1.58,1.08,-0.42
2024-08-17,20:45 (18:45),2024-2025,Serie A,1,Milan,Torino,2.0,2.0,2.1,2.0,2.0,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,1.61,1.13,1.03,1.18,0,0,1.61,1.13,1.03,1.18,0.58
2024-08-17,18:30 (16:30),2024-2025,Serie A,1,Genoa,Internazionale,2.0,2.0,2.1,2.0,2.0,1.9,0.0,,,,,,,,,,,,,,,,,,,,,0.97,1.29,2.08,0.92,0,0,0.97,1.29,2.08,0.92,-1.11
2024-08-17,20:45 (18:45),2024-2025,Serie A,1,Empoli,Monza,0.0,0.0,0.5,0.0,0.0,0.3,0.0,,,,,,,,,,,,,,,,,,,,,0.87,1.55,0.74,1.82,0,0,0.87,1.55,0.74,1.82,0.13
2024-08-18,18:30 (16:30),2024-2025,Serie A,1,Bologna,Udinese,1.0,1.0,3.2,1.0,1.0,0.9,-1.0,,,,,,,,,,,,,,,,,,,,,1.5,1.24,1.08,1.47,0,0,1.5,1.24,1.08,1.47,0.42
2024-08-18,20:45 (18:45),2024-2025,Serie A,1,Cagliari,Roma,0.0,0.0,1.0,0.0,0.0,0.9,-1.0,,,,,,,,,,,,,,,,,,,,,1.05,1.47,1.47,0.92,0,0,1.05,1.47,1.47,0.92,-0.42
2024-08-18,18:30 (16:30),2024-2025,Serie A,1,Hellas Verona,Napoli,3.0,0.0,1.7,0.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0.89,1.74,1.55,0.71,0,0,0.89,1.74,1.55,0.71,-0.66
2024-08-18,20:45 (18:45),2024-2025,Serie A,1,Lazio,Venezia,3.0,1.0,2.4,1.0,3.0,0.6,1.0,,,,,,,,,,,,,,,,,,,,,1.61,1.29,0.84,1.47,0,0,1.61,1.29,0.84,1.47,0.77
2024-08-19,18:30 (16:30),2024-2025,Serie A,1,Lecce,Atalanta,0.0,4.0,1.5,4.0,0.0,1.7,-1.0,,,,,,,,,,,,,,,,,,,,,0.71,1.53,2.05,0.97,0,0,0.71,1.53,2.05,0.97,-1.34
2024-08-19,20:45 (18:45),2024-2025,Serie A,1,Juventus,Como,3.0,0.0,1.2,0.0,3.0,0.2,1.0,,,,,,,,,,,,,,,,,,,,,1.53,0.92,1.29,1.37,0,0,1.53,0.92,1.29,1.37,0.24
2024-08-24,20:45 (18:45),2024-2025,Serie A,2,Internazionale,Lecce,2.0,0.0,2.4,0.0,2.0,0.3,1.0,1.9,1.5,1.9,1.5,2.0,0.0,2.0,0.0,2.0,4.0,2.0,4.0,2.1,1.7,2.1,1.7,,,,,2.08,0.92,0.71,1.53,1,1,2.08,0.92,0.71,1.53,1.37
