League,Season,N_sims,GeneratedAtUTC,Team,P(vinne),P(topp 5),P(nedrykk)
Bundesliga,2025-2026,5000,2025-10-11T02:45:56+00:00,Bayern Munich,99.5,100.0,0.0
Bundesliga,2025-2026,5000,2025-10-11T02:45:56+00:00,Dortmund,0.4,92.6,0.0
Bundesliga,2025-2026,5000,2025-10-11T02:45:56+00:00,Bayer Leverkusen,0.1,77.7,0.0
Bundesliga,2025-2026,5000,2025-10-11T02:45:56+00:00,Augsburg,0.0,2.5,27.1
Bundesliga,2025-2026,5000,2025-10-11T02:45:56+00:00,Eintracht Frankfurt,0.0,59.6,0.4
Bundesliga,2025-2026,5000,2025-10-11T02:45:56+00:00,Freiburg,0.0,10.3,9.2
Bundesliga,2025-2026,5000,2025-10-11T02:45:56+00:00,Hamburger SV,0.0,6.1,14.2
Bundesliga,2025-2026,5000,2025-10-11T02:45:56+00:00,Heidenheim,0.0,0.1,77.9
Bundesliga,2025-2026,5000,2025-10-11T02:45:56+00:00,Hoffenheim,0.0,3.1,23.1
Bundesliga,2025-2026,5000,2025-10-11T02:45:56+00:00,Köln,0.0,17.0,4.2
Bundesliga,2025-2026,5000,2025-10-11T02:45:56+00:00,Mainz 05,0.0,4.0,17.2
Bundesliga,2025-2026,5000,2025-10-11T02:45:56+00:00,Monchengladbach,0.0,0.7,45.5
Bundesliga,2025-2026,5000,2025-10-11T02:45:56+00:00,RB Leipzig,0.0,58.5,0.3
Bundesliga,2025-2026,5000,2025-10-11T02:45:56+00:00,St Pauli,0.0,4.6,17.0
Bundesliga,2025-2026,5000,2025-10-11T02:45:56+00:00,Stuttgart,0.0,49.4,0.5
Bundesliga,2025-2026,5000,2025-10-11T02:45:56+00:00,Union Berlin,0.0,1.5,32.9
Bundesliga,2025-2026,5000,2025-10-11T02:45:56+00:00,Werder Bremen,0.0,6.6,14.5
Bundesliga,2025-2026,5000,2025-10-11T02:45:56+00:00,Wolfsburg,0.0,5.9,15.8
