League,Season,N_sims,GeneratedAtUTC,Team,P(vinne),P(topp 5),P(nedrykk)
Ligue 1,2025-2026,5000,2025-12-19T04:07:10+00:00,Paris Saint Germain,52.2,97.6,0.0
Ligue 1,2025-2026,5000,2025-12-19T04:07:10+00:00,Marseille,25.6,91.6,0.0
Ligue 1,2025-2026,5000,2025-12-19T04:07:10+00:00,Lille,10.7,80.2,0.0
Ligue 1,2025-2026,5000,2025-12-19T04:07:10+00:00,Lens,4.0,61.1,0.0
Ligue 1,2025-2026,5000,2025-12-19T04:07:10+00:00,Lyon,3.3,55.9,0.0
Ligue 1,2025-2026,5000,2025-12-19T04:07:10+00:00,Strasbourg,2.3,47.8,0.1
Ligue 1,2025-2026,5000,2025-12-19T04:07:10+00:00,Monaco,1.7,42.8,0.0
Ligue 1,2025-2026,5000,2025-12-19T04:07:10+00:00,Nice,0.1,9.8,0.6
Ligue 1,2025-2026,5000,2025-12-19T04:07:10+00:00,Toulouse,0.1,10.1,0.8
Ligue 1,2025-2026,5000,2025-12-19T04:07:10+00:00,Angers,0.0,0.1,38.5
Ligue 1,2025-2026,5000,2025-12-19T04:07:10+00:00,Auxerre,0.0,0.1,33.3
Ligue 1,2025-2026,5000,2025-12-19T04:07:10+00:00,Lorient,0.0,0.1,42.0
Ligue 1,2025-2026,5000,2025-12-19T04:07:10+00:00,Le Havre,0.0,0.0,38.8
Ligue 1,2025-2026,5000,2025-12-19T04:07:10+00:00,Brest,0.0,0.7,15.7
Ligue 1,2025-2026,5000,2025-12-19T04:07:10+00:00,Metz,0.0,0.0,94.6
Ligue 1,2025-2026,5000,2025-12-19T04:07:10+00:00,Nantes,0.0,0.4,14.4
Ligue 1,2025-2026,5000,2025-12-19T04:07:10+00:00,Paris FC,0.0,0.5,14.5
Ligue 1,2025-2026,5000,2025-12-19T04:07:10+00:00,Rennes,0.0,1.2,6.7
