League,Season,N_sims,GeneratedAtUTC,Team,P(vinne),P(topp 5),P(nedrykk)
Premier League,2025-2026,5000,2025-11-22T03:30:21+00:00,Arsenal,68.3,98.1,0.0
Premier League,2025-2026,5000,2025-11-22T03:30:21+00:00,Manchester City,13.0,80.0,0.0
Premier League,2025-2026,5000,2025-11-22T03:30:21+00:00,Tottenham Hotspur,5.9,61.9,0.0
Premier League,2025-2026,5000,2025-11-22T03:30:21+00:00,Liverpool,4.3,54.1,0.0
Premier League,2025-2026,5000,2025-11-22T03:30:21+00:00,Bournemouth,4.1,53.0,0.0
Premier League,2025-2026,5000,2025-11-22T03:30:21+00:00,Chelsea,2.0,39.3,0.1
Premier League,2025-2026,5000,2025-11-22T03:30:21+00:00,Sunderland,0.6,20.0,0.6
Premier League,2025-2026,5000,2025-11-22T03:30:21+00:00,Manchester United,0.5,19.4,0.6
Premier League,2025-2026,5000,2025-11-22T03:30:21+00:00,Brentford,0.3,13.7,1.0
Premier League,2025-2026,5000,2025-11-22T03:30:21+00:00,Aston Villa,0.3,16.8,0.4
Premier League,2025-2026,5000,2025-11-22T03:30:21+00:00,Crystal Palace,0.3,15.7,0.5
Premier League,2025-2026,5000,2025-11-22T03:30:21+00:00,Newcastle United,0.3,14.7,0.6
Premier League,2025-2026,5000,2025-11-22T03:30:21+00:00,Brighton and Hove Albion,0.1,8.7,2.6
Premier League,2025-2026,5000,2025-11-22T03:30:21+00:00,Fulham,0.0,0.4,20.2
Premier League,2025-2026,5000,2025-11-22T03:30:21+00:00,Everton,0.0,1.8,8.4
Premier League,2025-2026,5000,2025-11-22T03:30:21+00:00,Burnley,0.0,0.7,16.1
Premier League,2025-2026,5000,2025-11-22T03:30:21+00:00,Leeds United,0.0,1.6,9.6
Premier League,2025-2026,5000,2025-11-22T03:30:21+00:00,Nottingham Forest,0.0,0.0,62.6
Premier League,2025-2026,5000,2025-11-22T03:30:21+00:00,West Ham United,0.0,0.0,88.2
Premier League,2025-2026,5000,2025-11-22T03:30:21+00:00,Wolverhampton Wanderers,0.0,0.0,88.3
