date,time,comp,season,team,opponent,venue,round,xg_for,gf_for,ga_for,sh_for,sot_for,dist_for,fk_for,pk_for,xg_against,gf_against,ga_against,sh_against,sot_against,dist_against,fk_against,pk_against
2025-08-16,20:30 (18:30),DFL-Supercup,2025-2026,Bayern Munich,Stuttgart,Away,Franz Beckenbauer Supercup,,2.0,1.0,17.0,3.0,,,0.0,,1.0,2.0,14.0,5.0,,,0.0
2025-08-22,20:30 (18:30),Bundesliga,2025-2026,Bayern Munich,RB Leipzig,Home,Matchweek 1,1.7,6.0,0.0,19.0,9.0,16.9,1.0,0.0,0.5,0.0,6.0,12.0,1.0,17.1,0.0,0.0
2025-08-27,20:45 (18:45),DFB-Pokal,2025-2026,Bayern Munich,Wehen,Away,Round of 64,,3.0,2.0,22.0,15.0,,,1.0,,2.0,3.0,6.0,2.0,,,0.0
2025-08-30,18:30 (16:30),Bundesliga,2025-2026,Bayern Munich,Augsburg,Away,Matchweek 2,4.2,3.0,2.0,20.0,10.0,14.7,0.0,0.0,0.5,2.0,3.0,10.0,3.0,18.1,0.0,0.0
2025-09-13,18:30 (16:30),Bundesliga,2025-2026,Bayern Munich,Hamburger SV,Home,Matchweek 3,2.4,5.0,0.0,21.0,11.0,19.5,2.0,1.0,0.6,0.0,5.0,9.0,2.0,13.7,0.0,0.0
2025-09-17,21:00 (19:00),Champions Lg,2025-2026,Bayern Munich,eng Chelsea,Home,League phase,2.2,3.0,1.0,15.0,4.0,20.8,0.0,1.0,0.7,1.0,3.0,9.0,3.0,20.5,0.0,0.0
2025-09-20,15:30 (13:30),Bundesliga,2025-2026,Bayern Munich,Hoffenheim,Away,Matchweek 4,3.0,4.0,1.0,16.0,8.0,20.4,1.0,2.0,0.9,1.0,4.0,13.0,3.0,16.1,1.0,0.0
2025-09-26,20:30 (18:30),Bundesliga,2025-2026,Bayern Munich,Werder Bremen,Home,Matchweek 5,,,,,,,,,,,,,,,,
2025-09-30,22:00 (19:00),Champions Lg,2025-2026,Bayern Munich,cy Pafos FC,Away,League phase,,,,,,,,,,,,,,,,
2025-10-04,18:30 (16:30),Bundesliga,2025-2026,Bayern Munich,Eint Frankfurt,Away,Matchweek 6,,,,,,,,,,,,,,,,
2025-10-18,18:30 (16:30),Bundesliga,2025-2026,Bayern Munich,Dortmund,Home,Matchweek 7,,,,,,,,,,,,,,,,
2025-10-22,21:00 (19:00),Champions Lg,2025-2026,Bayern Munich,be Club Brugge,Home,League phase,,,,,,,,,,,,,,,,
2025-10-25,15:30 (13:30),Bundesliga,2025-2026,Bayern Munich,Gladbach,Away,Matchweek 8,,,,,,,,,,,,,,,,
2025-10-29,20:45 (19:45),DFB-Pokal,2025-2026,Bayern Munich,Köln,Away,Round of 32,,,,,,,,,,,,,,,,
2025-11-01,18:30 (17:30),Bundesliga,2025-2026,Bayern Munich,Leverkusen,Home,Matchweek 9,,,,,,,,,,,,,,,,
2025-11-04,21:00 (20:00),Champions Lg,2025-2026,Bayern Munich,fr Paris S-G,Away,League phase,,,,,,,,,,,,,,,,
2025-11-08,15:30 (14:30),Bundesliga,2025-2026,Bayern Munich,Union Berlin,Away,Matchweek 10,,,,,,,,,,,,,,,,
2025-11-22,15:30 (14:30),Bundesliga,2025-2026,Bayern Munich,Freiburg,Home,Matchweek 11,,,,,,,,,,,,,,,,
2025-11-26,20:00,Champions Lg,2025-2026,Bayern Munich,eng Arsenal,Away,League phase,,,,,,,,,,,,,,,,
2025-11-29,15:30 (14:30),Bundesliga,2025-2026,Bayern Munich,St. Pauli,Home,Matchweek 12,,,,,,,,,,,,,,,,
2025-12-06,,Bundesliga,2025-2026,Bayern Munich,Stuttgart,Away,Matchweek 13,,,,,,,,,,,,,,,,
2025-12-09,18:45 (17:45),Champions Lg,2025-2026,Bayern Munich,pt Sporting CP,Home,League phase,,,,,,,,,,,,,,,,
2025-12-13,,Bundesliga,2025-2026,Bayern Munich,Mainz 05,Home,Matchweek 14,,,,,,,,,,,,,,,,
2025-12-20,,Bundesliga,2025-2026,Bayern Munich,Heidenheim,Away,Matchweek 15,,,,,,,,,,,,,,,,
2026-01-10,,Bundesliga,2025-2026,Bayern Munich,Wolfsburg,Home,Matchweek 16,,,,,,,,,,,,,,,,
2026-01-14,,Bundesliga,2025-2026,Bayern Munich,Köln,Away,Matchweek 17,,,,,,,,,,,,,,,,
2026-01-17,,Bundesliga,2025-2026,Bayern Munich,RB Leipzig,Away,Matchweek 18,,,,,,,,,,,,,,,,
2026-01-21,21:00 (20:00),Champions Lg,2025-2026,Bayern Munich,be Union SG,Home,League phase,,,,,,,,,,,,,,,,
2026-01-24,,Bundesliga,2025-2026,Bayern Munich,Augsburg,Home,Matchweek 19,,,,,,,,,,,,,,,,
2026-01-28,21:00 (20:00),Champions Lg,2025-2026,Bayern Munich,nl PSV Eindhoven,Away,League phase,,,,,,,,,,,,,,,,
2026-01-31,,Bundesliga,2025-2026,Bayern Munich,Hamburger SV,Away,Matchweek 20,,,,,,,,,,,,,,,,
2026-02-07,,Bundesliga,2025-2026,Bayern Munich,Hoffenheim,Home,Matchweek 21,,,,,,,,,,,,,,,,
2026-02-14,,Bundesliga,2025-2026,Bayern Munich,Werder Bremen,Away,Matchweek 22,,,,,,,,,,,,,,,,
2026-02-21,,Bundesliga,2025-2026,Bayern Munich,Eint Frankfurt,Home,Matchweek 23,,,,,,,,,,,,,,,,
2026-02-28,,Bundesliga,2025-2026,Bayern Munich,Dortmund,Away,Matchweek 24,,,,,,,,,,,,,,,,
Date,Time,Comp,2025-2026,Bayern Munich,Opponent,Venue,Round,,,,,,,,,,,,,,,,
2026-03-07,,Bundesliga,2025-2026,Bayern Munich,Gladbach,Home,Matchweek 25,,,,,,,,,,,,,,,,
2026-03-14,,Bundesliga,2025-2026,Bayern Munich,Leverkusen,Away,Matchweek 26,,,,,,,,,,,,,,,,
2026-03-21,,Bundesliga,2025-2026,Bayern Munich,Union Berlin,Home,Matchweek 27,,,,,,,,,,,,,,,,
2026-04-04,,Bundesliga,2025-2026,Bayern Munich,Freiburg,Away,Matchweek 28,,,,,,,,,,,,,,,,
2026-04-11,,Bundesliga,2025-2026,Bayern Munich,St. Pauli,Away,Matchweek 29,,,,,,,,,,,,,,,,
2026-04-18,,Bundesliga,2025-2026,Bayern Munich,Stuttgart,Home,Matchweek 30,,,,,,,,,,,,,,,,
2026-04-25,,Bundesliga,2025-2026,Bayern Munich,Mainz 05,Away,Matchweek 31,,,,,,,,,,,,,,,,
2026-05-02,,Bundesliga,2025-2026,Bayern Munich,Heidenheim,Home,Matchweek 32,,,,,,,,,,,,,,,,
2026-05-09,,Bundesliga,2025-2026,Bayern Munich,Wolfsburg,Away,Matchweek 33,,,,,,,,,,,,,,,,
