date,time,comp,season,team,opponent,venue,round,xg_for,gf_for,ga_for,sh_for,sot_for,dist_for,fk_for,pk_for,xg_against,gf_against,ga_against,sh_against,sot_against,dist_against,fk_against,pk_against
2024-08-16,20:45,DFB-Pokal,2024-2025,Bayern Munich,Ulm,Away,Round of 64,,4,0,16,7,,,0,,0.0,4.0,6.0,1.0,,,0.0
2024-08-25,15:30,Bundesliga,2024-2025,Bayern Munich,Wolfsburg,Away,Matchweek 1,2.4,3,2,15,8,11.1,0,0,1.9,2.0,3.0,9.0,1.0,19.7,0.0,1.0
2024-09-01,17:30,Bundesliga,2024-2025,Bayern Munich,Freiburg,Home,Matchweek 2,1.5,2,0,11,2,16.0,0,1,1.0,0.0,2.0,8.0,3.0,26.8,0.0,0.0
2024-09-14,18:30,Bundesliga,2024-2025,Bayern Munich,Holstein Kiel,Away,Matchweek 3,3.2,6,1,22,11,15.9,0,1,0.3,1.0,6.0,5.0,1.0,16.9,0.0,0.0
2024-09-17,21:00,Champions Lg,2024-2025,Bayern Munich,hr Dinamo Zagreb,Home,League phase,5.9,9,2,26,16,18.2,0,3,0.7,2.0,9.0,4.0,3.0,14.0,0.0,0.0
2024-09-21,15:30,Bundesliga,2024-2025,Bayern Munich,Werder Bremen,Away,Matchweek 4,3.0,5,0,25,7,17.3,1,0,0.0,0.0,5.0,0.0,0.0,,0.0,0.0
2024-09-28,18:30,Bundesliga,2024-2025,Bayern Munich,Leverkusen,Home,Matchweek 5,1.4,1,1,18,3,19.3,1,0,0.1,1.0,1.0,3.0,2.0,40.5,0.0,0.0
2024-10-02,20:00 (21:00),Champions Lg,2024-2025,Bayern Munich,eng Aston Villa,Away,League phase,1.5,0,1,17,7,19.9,1,0,0.4,1.0,0.0,5.0,2.0,18.2,0.0,0.0
2024-10-06,17:30,Bundesliga,2024-2025,Bayern Munich,Eint Frankfurt,Away,Matchweek 6,2.2,3,3,24,13,17.5,2,0,1.2,3.0,3.0,6.0,4.0,16.9,0.0,0.0
2024-10-19,18:30,Bundesliga,2024-2025,Bayern Munich,Stuttgart,Home,Matchweek 7,3.2,4,0,22,10,15.9,0,0,0.5,0.0,4.0,4.0,1.0,17.7,0.0,0.0
2024-10-23,21:00,Champions Lg,2024-2025,Bayern Munich,es Barcelona,Away,League phase,1.0,1,4,11,3,21.9,0,0,2.2,4.0,1.0,12.0,4.0,14.2,0.0,0.0
