date,time,comp,season,team,opponent,venue,round,xg_for,gf_for,ga_for,sh_for,sot_for,dist_for,fk_for,pk_for,xg_against,gf_against,ga_against,sh_against,sot_against,dist_against,fk_against,pk_against
2025-08-15,20:45 (18:45),Ligue 1,2025-2026,Marseille,Rennes,Away,Matchweek 1,1.7,0.0,1.0,24.0,2.0,16.8,0.0,0.0,1.5,1.0,0.0,12.0,5.0,20.1,0.0,0.0
2025-08-23,17:00 (15:00),Ligue 1,2025-2026,Marseille,Paris FC,Home,Matchweek 2,2.3,5.0,2.0,9.0,6.0,18.3,0.0,1.0,1.1,2.0,5.0,8.0,4.0,18.7,0.0,0.0
2025-08-31,20:45 (18:45),Ligue 1,2025-2026,Marseille,Lyon,Away,Matchweek 3,0.8,0.0,1.0,5.0,2.0,17.4,0.0,0.0,2.3,1.0,0.0,18.0,5.0,14.2,2.0,0.0
2025-09-12,20:45 (18:45),Ligue 1,2025-2026,Marseille,Lorient,Home,Matchweek 4,2.2,4.0,0.0,14.0,7.0,17.3,0.0,1.0,0.1,0.0,4.0,4.0,1.0,14.5,0.0,0.0
2025-09-16,21:00 (19:00),Champions Lg,2025-2026,Marseille,es Real Madrid,Away,League phase,0.8,1.0,2.0,15.0,5.0,17.8,0.0,0.0,3.6,2.0,1.0,26.0,13.0,17.3,0.0,2.0
2025-09-22,20:00 (18:00),Ligue 1,2025-2026,Marseille,Paris S-G,Home,Matchweek 5,1.1,1.0,0.0,9.0,1.0,14.9,0.0,0.0,0.7,0.0,1.0,12.0,5.0,24.5,2.0,0.0
2025-09-26,20:45 (18:45),Ligue 1,2025-2026,Marseille,Strasbourg,Away,Matchweek 6,2.0,2.0,1.0,16.0,9.0,18.6,1.0,0.0,1.4,1.0,2.0,9.0,1.0,15.2,0.0,0.0
2025-09-30,21:00 (19:00),Champions Lg,2025-2026,Marseille,nl Ajax,Home,League phase,1.1,4.0,0.0,9.0,6.0,21.1,0.0,0.0,0.8,0.0,4.0,13.0,2.0,20.7,1.0,0.0
2025-10-04,17:00 (15:00),Ligue 1,2025-2026,Marseille,Metz,Away,Matchweek 7,2.7,3.0,0.0,21.0,9.0,18.7,1.0,0.0,0.1,0.0,3.0,4.0,1.0,21.2,0.0,0.0
2025-10-18,21:05 (19:05),Ligue 1,2025-2026,Marseille,Le Havre,Home,Matchweek 8,4.0,6.0,2.0,17.0,10.0,18.0,1.0,1.0,0.5,2.0,6.0,8.0,3.0,18.8,0.0,0.0
2025-10-22,20:00 (19:00),Champions Lg,2025-2026,Marseille,pt Sporting CP,Away,League phase,0.5,1.0,2.0,10.0,3.0,27.8,1.0,0.0,1.1,2.0,1.0,14.0,7.0,18.8,1.0,0.0
2025-10-25,21:05 (19:05),Ligue 1,2025-2026,Marseille,Lens,Away,Matchweek 9,,,,,,,,,,,,,,,,
2025-10-29,21:05 (20:05),Ligue 1,2025-2026,Marseille,Angers,Home,Matchweek 10,,,,,,,,,,,,,,,,
2025-11-01,21:05 (20:05),Ligue 1,2025-2026,Marseille,Auxerre,Away,Matchweek 11,,,,,,,,,,,,,,,,
2025-11-05,21:00 (20:00),Champions Lg,2025-2026,Marseille,it Atalanta,Home,League phase,,,,,,,,,,,,,,,,
2025-11-08,17:00 (16:00),Ligue 1,2025-2026,Marseille,Brest,Home,Matchweek 12,,,,,,,,,,,,,,,,
