date,time,comp,season,team,opponent,venue,round,xg_for,gf_for,ga_for,sh_for,sot_for,dist_for,fk_for,pk_for,xg_against,gf_against,ga_against,sh_against,sot_against,dist_against,fk_against,pk_against
2024-08-16,20:45,Ligue 1,2024-2025,Paris Saint Germain,Le Havre,Away,Matchweek 1,2.9,4,1,14,8,15.2,0,1,0.2,1,4,5.0,2.0,19.1,0.0,0.0
2024-08-23,20:45,Ligue 1,2024-2025,Paris Saint Germain,Montpellier,Home,Matchweek 2,3.8,6,0,27,11,17.0,4,0,0.6,0,6,8.0,3.0,15.9,1.0,0.0
2024-09-01,20:45,Ligue 1,2024-2025,Paris Saint Germain,Lille,Away,Matchweek 3,2.6,3,1,10,6,13.4,0,1,1.4,1,3,8.0,4.0,15.7,0.0,0.0
2024-09-14,21:00,Ligue 1,2024-2025,Paris Saint Germain,Brest,Home,Matchweek 4,2.8,3,1,22,9,16.2,0,0,1.0,1,3,4.0,2.0,26.5,0.0,1.0
2024-09-18,21:00,Champions Lg,2024-2025,Paris Saint Germain,es Girona,Home,League phase,2.1,1,0,26,5,18.0,1,0,0.2,0,1,3.0,1.0,12.1,0.0,0.0
2024-09-21,21:00,Ligue 1,2024-2025,Paris Saint Germain,Reims,Away,Matchweek 5,1.6,1,1,11,4,14.6,0,0,0.3,1,1,8.0,1.0,21.6,0.0,0.0
2024-09-27,21:00,Ligue 1,2024-2025,Paris Saint Germain,Rennes,Home,Matchweek 6,3.0,3,1,23,7,16.0,0,0,1.4,1,3,11.0,4.0,22.5,0.0,1.0
2024-10-01,20:00 (21:00),Champions Lg,2024-2025,Paris Saint Germain,eng Arsenal,Away,League phase,0.4,0,2,10,2,18.2,0,0,0.7,2,0,6.0,5.0,15.7,1.0,0.0
2024-10-06,20:45,Ligue 1,2024-2025,Paris Saint Germain,Nice,Away,Matchweek 7,1.3,1,1,19,7,18.6,0,0,0.5,1,1,9.0,3.0,17.3,0.0,0.0
2024-10-19,21:00,Ligue 1,2024-2025,Paris Saint Germain,Strasbourg,Home,Matchweek 8,3.5,4,2,18,10,11.3,0,0,1.9,2,4,16.0,7.0,15.3,0.0,0.0
