date,time,comp,season,team,opponent,venue,round,xg_for,gf_for,ga_for,sh_for,sot_for,dist_for,fk_for,pk_for,xg_against,gf_against,ga_against,sh_against,sot_against,dist_against,fk_against,pk_against
2025-08-24,20:45 (18:45),Serie A,2025-2026,Juventus,Parma,Home,Matchweek 1,2.3,2.0,0.0,25.0,8.0,17.1,0.0,0.0,0.6,0.0,2.0,8.0,1.0,19.2,0.0,0.0
2025-08-31,18:30 (16:30),Serie A,2025-2026,Juventus,Genoa,Away,Matchweek 2,0.9,1.0,0.0,13.0,3.0,16.9,0.0,0.0,0.5,0.0,1.0,10.0,1.0,16.9,0.0,0.0
2025-09-13,18:00 (16:00),Serie A,2025-2026,Juventus,Inter,Home,Matchweek 3,0.7,4.0,3.0,12.0,4.0,21.3,0.0,0.0,0.9,3.0,4.0,18.0,4.0,19.8,1.0,0.0
2025-09-16,21:00 (19:00),Champions Lg,2025-2026,Juventus,de Dortmund,Home,League phase,1.9,4.0,4.0,19.0,7.0,17.2,0.0,0.0,1.5,4.0,4.0,9.0,4.0,20.4,0.0,1.0
2025-09-20,18:00 (16:00),Serie A,2025-2026,Juventus,Hellas Verona,Away,Matchweek 4,0.5,1.0,1.0,10.0,4.0,17.2,0.0,0.0,1.5,1.0,1.0,13.0,3.0,25.4,0.0,1.0
2025-09-27,18:00 (16:00),Serie A,2025-2026,Juventus,Atalanta,Home,Matchweek 5,,,,,,,,,,,,,,,,
2025-10-01,21:00 (19:00),Champions Lg,2025-2026,Juventus,es Villarreal,Away,League phase,,,,,,,,,,,,,,,,
2025-10-05,20:45 (18:45),Serie A,2025-2026,Juventus,Milan,Home,Matchweek 6,,,,,,,,,,,,,,,,
2025-10-19,12:30 (10:30),Serie A,2025-2026,Juventus,Como,Away,Matchweek 7,,,,,,,,,,,,,,,,
2025-10-22,21:00 (19:00),Champions Lg,2025-2026,Juventus,es Real Madrid,Away,League phase,,,,,,,,,,,,,,,,
2025-10-26,20:45 (19:45),Serie A,2025-2026,Juventus,Lazio,Away,Matchweek 8,,,,,,,,,,,,,,,,
2025-10-29,18:30 (17:30),Serie A,2025-2026,Juventus,Udinese,Home,Matchweek 9,,,,,,,,,,,,,,,,
2025-11-01,20:45 (19:45),Serie A,2025-2026,Juventus,Cremonese,Away,Matchweek 10,,,,,,,,,,,,,,,,
2025-11-04,21:00 (20:00),Champions Lg,2025-2026,Juventus,pt Sporting CP,Home,League phase,,,,,,,,,,,,,,,,
2025-11-08,18:00 (17:00),Serie A,2025-2026,Juventus,Torino,Home,Matchweek 11,,,,,,,,,,,,,,,,
2025-11-22,18:00 (17:00),Serie A,2025-2026,Juventus,Fiorentina,Away,Matchweek 12,,,,,,,,,,,,,,,,
2025-11-25,21:00 (20:00),Champions Lg,2025-2026,Juventus,no Bodø/Glimt,Away,League phase,,,,,,,,,,,,,,,,
2025-11-30,,Serie A,2025-2026,Juventus,Cagliari,Home,Matchweek 13,,,,,,,,,,,,,,,,
2025-12-07,,Serie A,2025-2026,Juventus,Napoli,Away,Matchweek 14,,,,,,,,,,,,,,,,
2025-12-10,21:00 (20:00),Champions Lg,2025-2026,Juventus,cy Pafos FC,Home,League phase,,,,,,,,,,,,,,,,
2025-12-14,,Serie A,2025-2026,Juventus,Bologna,Away,Matchweek 15,,,,,,,,,,,,,,,,
2025-12-21,,Serie A,2025-2026,Juventus,Roma,Home,Matchweek 16,,,,,,,,,,,,,,,,
2025-12-28,,Serie A,2025-2026,Juventus,Pisa,Away,Matchweek 17,,,,,,,,,,,,,,,,
2026-01-03,,Serie A,2025-2026,Juventus,Lecce,Home,Matchweek 18,,,,,,,,,,,,,,,,
2026-01-06,,Serie A,2025-2026,Juventus,Sassuolo,Away,Matchweek 19,,,,,,,,,,,,,,,,
2026-01-11,,Serie A,2025-2026,Juventus,Cremonese,Home,Matchweek 20,,,,,,,,,,,,,,,,
2026-01-18,,Serie A,2025-2026,Juventus,Cagliari,Away,Matchweek 21,,,,,,,,,,,,,,,,
2026-01-21,21:00 (20:00),Champions Lg,2025-2026,Juventus,pt Benfica,Home,League phase,,,,,,,,,,,,,,,,
2026-01-25,,Serie A,2025-2026,Juventus,Napoli,Home,Matchweek 22,,,,,,,,,,,,,,,,
2026-01-28,21:00 (20:00),Champions Lg,2025-2026,Juventus,fr Monaco,Away,League phase,,,,,,,,,,,,,,,,
2026-02-01,,Serie A,2025-2026,Juventus,Parma,Away,Matchweek 23,,,,,,,,,,,,,,,,
2026-02-08,,Serie A,2025-2026,Juventus,Lazio,Home,Matchweek 24,,,,,,,,,,,,,,,,
2026-02-15,,Serie A,2025-2026,Juventus,Inter,Away,Matchweek 25,,,,,,,,,,,,,,,,
2026-02-22,,Serie A,2025-2026,Juventus,Como,Home,Matchweek 26,,,,,,,,,,,,,,,,
2026-03-01,,Serie A,2025-2026,Juventus,Roma,Away,Matchweek 27,,,,,,,,,,,,,,,,
Date,Time,Comp,2025-2026,Juventus,Opponent,Venue,Round,,,,,,,,,,,,,,,,
2026-03-08,,Serie A,2025-2026,Juventus,Pisa,Home,Matchweek 28,,,,,,,,,,,,,,,,
2026-03-15,,Serie A,2025-2026,Juventus,Udinese,Away,Matchweek 29,,,,,,,,,,,,,,,,
2026-03-22,,Serie A,2025-2026,Juventus,Sassuolo,Home,Matchweek 30,,,,,,,,,,,,,,,,
2026-04-04,,Serie A,2025-2026,Juventus,Genoa,Home,Matchweek 31,,,,,,,,,,,,,,,,
2026-04-12,,Serie A,2025-2026,Juventus,Atalanta,Away,Matchweek 32,,,,,,,,,,,,,,,,
2026-04-19,,Serie A,2025-2026,Juventus,Bologna,Home,Matchweek 33,,,,,,,,,,,,,,,,
2026-04-26,,Serie A,2025-2026,Juventus,Milan,Away,Matchweek 34,,,,,,,,,,,,,,,,
2026-05-03,,Serie A,2025-2026,Juventus,Hellas Verona,Home,Matchweek 35,,,,,,,,,,,,,,,,
2026-05-10,,Serie A,2025-2026,Juventus,Lecce,Away,Matchweek 36,,,,,,,,,,,,,,,,
2026-05-17,,Serie A,2025-2026,Juventus,Fiorentina,Home,Matchweek 37,,,,,,,,,,,,,,,,
2026-05-24,,Serie A,2025-2026,Juventus,Torino,Away,Matchweek 38,,,,,,,,,,,,,,,,
2025-08-17,21:15 (19:15),Coppa Italia,2025-2026,Milan,Bari,Home,First round,,2.0,0.0,24.0,5.0,,,0.0,,0.0,2.0,6.0,1.0,,,0.0
2025-08-23,20:45 (18:45),Serie A,2025-2026,Milan,Cremonese,Home,Matchweek 1,1.8,1.0,2.0,24.0,5.0,15.5,0.0,0.0,0.2,2.0,1.0,4.0,3.0,13.6,0.0,0.0
2025-08-29,20:45 (18:45),Serie A,2025-2026,Milan,Lecce,Away,Matchweek 2,1.8,2.0,0.0,14.0,6.0,14.4,0.0,0.0,0.3,0.0,2.0,7.0,2.0,15.8,0.0,0.0
2025-09-14,20:45 (18:45),Serie A,2025-2026,Milan,Bologna,Home,Matchweek 3,1.0,1.0,0.0,14.0,3.0,16.0,0.0,0.0,0.2,0.0,1.0,5.0,0.0,20.4,0.0,0.0
