date,time,comp,season,team,opponent,venue,round,xg_for,gf_for,ga_for,sh_for,sot_for,dist_for,fk_for,pk_for,xg_against,gf_against,ga_against,sh_against,sot_against,dist_against,fk_against,pk_against
2024-08-10,21:15,Coppa Italia,2024-2025,Napoli,Modena,Home,First round,,0 (4),0 (3),28,6,,,0,,0 (3),0 (4),4.0,2.0,,,0.0
2024-08-18,18:30,Serie A,2024-2025,Napoli,Hellas Verona,Away,Matchweek 1,1.0,0,3,14,4,17.8,0,0,1.7,3,0,9.0,4.0,16.1,0.0,0.0
2024-08-25,20:45,Serie A,2024-2025,Napoli,Bologna,Home,Matchweek 2,2.5,3,0,16,5,17.5,0,0,0.6,0,3,8.0,2.0,21.0,0.0,0.0
2024-08-31,20:45,Serie A,2024-2025,Napoli,Parma,Home,Matchweek 3,2.2,2,1,29,7,17.5,1,0,1.7,1,2,12.0,1.0,22.7,1.0,1.0
2024-09-15,18:00,Serie A,2024-2025,Napoli,Cagliari,Away,Matchweek 4,1.9,4,0,13,5,16.0,0,0,1.0,0,4,19.0,5.0,15.0,1.0,0.0
2024-09-21,18:00,Serie A,2024-2025,Napoli,Juventus,Away,Matchweek 5,0.3,0,0,8,1,23.4,0,0,0.3,0,0,9.0,1.0,20.4,0.0,0.0
2024-09-26,21:00,Coppa Italia,2024-2025,Napoli,Palermo,Home,Second round,,5,0,16,7,,,0,,0,5,10.0,1.0,,,0.0
2024-09-29,20:45,Serie A,2024-2025,Napoli,Monza,Home,Matchweek 6,1.1,2,0,11,2,13.8,0,0,0.3,0,2,5.0,1.0,24.3,2.0,0.0
2024-10-04,18:30,Serie A,2024-2025,Napoli,Como,Home,Matchweek 7,1.9,3,1,8,5,18.1,0,1,0.4,1,3,11.0,2.0,24.3,0.0,0.0
2024-10-20,12:30,Serie A,2024-2025,Napoli,Empoli,Away,Matchweek 8,1.3,1,0,8,0,16.7,0,1,0.7,0,1,11.0,4.0,21.0,1.0,0.0
2024-10-26,15:00,Serie A,2024-2025,Napoli,Lecce,Home,Matchweek 9,2.7,1,0,24,8,14.8,0,0,0.7,0,1,11.0,1.0,22.2,1.0,0.0
2024-10-29,20:45,Serie A,2024-2025,Napoli,Milan,Away,Matchweek 10,1.1,2,0,9,4,17.9,0,0,0.7,0,2,13.0,5.0,19.6,0.0,0.0
2024-11-03,12:30,Serie A,2024-2025,Napoli,Atalanta,Home,Matchweek 11,0.8,0,3,13,3,17.4,0,0,1.2,3,0,12.0,3.0,13.7,0.0,0.0
2024-11-10,20:45,Serie A,2024-2025,Napoli,Inter,Away,Matchweek 12,0.7,1,1,5,2,9.5,0,0,1.5,1,1,12.0,4.0,21.2,1.0,0.0
2024-11-24,18:00,Serie A,2024-2025,Napoli,Roma,Home,Matchweek 13,1.4,1,0,14,2,16.8,1,0,0.6,0,1,6.0,1.0,18.0,0.0,0.0
2024-12-01,15:00,Serie A,2024-2025,Napoli,Torino,Away,Matchweek 14,1.4,1,0,16,6,13.9,0,0,0.3,0,1,5.0,1.0,19.0,0.0,0.0
2024-12-05,21:00,Coppa Italia,2024-2025,Napoli,Lazio,Away,Round of 16,,1,3,9,3,,,0,,3,1,11.0,5.0,,,0.0
2024-12-08,20:45,Serie A,2024-2025,Napoli,Lazio,Home,Matchweek 15,0.5,0,1,12,1,20.7,1,0,0.3,1,0,7.0,3.0,24.2,0.0,0.0
2024-12-14,18:00,Serie A,2024-2025,Napoli,Udinese,Away,Matchweek 16,2.2,3,1,17,4,13.3,0,0,1.4,1,3,6.0,2.0,16.7,0.0,0.0
2024-12-21,18:00,Serie A,2024-2025,Napoli,Genoa,Away,Matchweek 17,1.2,2,1,12,2,14.6,0,0,1.0,1,2,11.0,3.0,13.1,1.0,0.0
2024-12-29,15:00,Serie A,2024-2025,Napoli,Venezia,Home,Matchweek 18,1.9,1,0,24,7,18.4,0,0,0.2,0,1,4.0,2.0,25.4,1.0,0.0
2025-01-04,18:00,Serie A,2024-2025,Napoli,Fiorentina,Away,Matchweek 19,1.6,3,0,9,3,15.8,0,1,1.0,0,3,14.0,2.0,17.2,0.0,0.0
2025-01-12,20:45,Serie A,2024-2025,Napoli,Hellas Verona,Home,Matchweek 20,1.1,2,0,14,2,19.4,0,0,0.3,0,2,6.0,2.0,22.1,0.0,0.0
2025-01-18,20:45,Serie A,2024-2025,Napoli,Atalanta,Away,Matchweek 21,0.8,3,2,6,3,16.9,0,0,0.7,2,3,15.0,6.0,17.1,0.0,0.0
2025-01-25,18:00,Serie A,2024-2025,Napoli,Juventus,Home,Matchweek 22,2.3,2,1,13,2,15.9,1,1,0.8,1,2,5.0,2.0,19.0,0.0,0.0
2025-02-02,20:45,Serie A,2024-2025,Napoli,Roma,Away,Matchweek 23,0.4,1,1,5,2,18.2,0,0,0.5,1,1,12.0,2.0,22.4,2.0,0.0
2025-02-09,20:45,Serie A,2024-2025,Napoli,Udinese,Home,Matchweek 24,1.1,1,1,18,4,17.6,1,0,0.8,1,1,8.0,4.0,15.0,0.0,0.0
2025-02-15,18:00,Serie A,2024-2025,Napoli,Lazio,Away,Matchweek 25,0.3,2,2,5,2,15.6,0,0,0.7,2,2,12.0,5.0,22.1,2.0,0.0
2025-02-23,12:30,Serie A,2024-2025,Napoli,Como,Away,Matchweek 26,1.2,1,2,13,4,16.4,1,0,0.7,2,1,8.0,3.0,18.1,0.0,0.0
2025-03-01,18:00,Serie A,2024-2025,Napoli,Inter,Home,Matchweek 27,1.8,1,1,19,4,17.0,0,0,0.3,1,1,6.0,1.0,20.9,1.0,0.0
2025-03-09,15:00,Serie A,2024-2025,Napoli,Fiorentina,Home,Matchweek 28,2.8,2,1,19,11,15.3,1,0,0.7,1,2,7.0,2.0,16.4,0.0,0.0
2025-03-16,12:30,Serie A,2024-2025,Napoli,Venezia,Away,Matchweek 29,1.7,0,0,15,7,11.8,0,0,0.7,0,0,12.0,3.0,18.6,1.0,0.0
2025-03-30,20:45,Serie A,2024-2025,Napoli,Milan,Home,Matchweek 30,1.0,2,1,8,3,18.2,0,0,2.6,1,2,16.0,3.0,21.2,1.0,0.0
2025-04-07,20:45,Serie A,2024-2025,Napoli,Bologna,Away,Matchweek 31,1.2,1,1,6,2,20.8,1,0,0.8,1,1,12.0,4.0,14.8,0.0,0.0
